ID,acceptedTaxonName,taxonRank,taxonomicStatus,vernacularName,taxonomicLevel,lifeStage,metabolicType,movementType,lowestMass,highestMass,meanMass,shortestLength,longestLength,meanLength,sizeMethod,sizeReference
1475,Hermannia gibba,species,accepted,na,species,adults,invertebrate,walking,-999,-999,7.2e-5,-999,-999,-999,na,na
1476,Lithobius curtipes,species,accepted,na,species,adults,invertebrate,walking,-999,-999,5.49987e-4,-999,-999,-999,na,na
1477,Luperus luperus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.008299402,-999,-999,-999,na,na
1478,Macrocheles dentatus,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,4.98e-5,-999,-999,-999,na,na
1479,Microlinyphia pusilla,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.001498256,-999,-999,-999,na,na
1480,Notiophilus biguttatus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.009963206,-999,-999,-999,na,na
1481,Pachylaelaps regularis,species,synonym,na,species,adults,invertebrate,walking,-999,-999,2.81e-5,-999,-999,-999,na,na
1482,Pachylaelaps tesselatus,species,synonym,na,species,adults,invertebrate,walking,-999,-999,2.11e-5,-999,-999,-999,na,na
1483,Pelecopsis radicicola,species,accepted,na,species,adults,invertebrate,walking,-999,-999,9.05469e-4,-999,-999,-999,na,na
1484,Phyllobius,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.012766128,-999,-999,-999,na,na
1485,Pterostichus,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.14115915,-999,-999,-999,na,na
1486,pulmonata sp. (juv),NA,NA,na,NA,juveniles,invertebrate,walking,-999,-999,2.32019e-4,-999,-999,-999,na,na
1487,Scheloribates laevigatus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,6.58e-5,-999,-999,-999,na,na
1488,Tectocepheus velatus alatus,subspecies,accepted,na,subspecies,adults,invertebrate,walking,-999,-999,1.35e-5,-999,-999,-999,na,na
1489,Trachelipus ratzeburgii,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.010365996,-999,-999,-999,na,na
1490,Veigaia,genus,accepted,na,genus,juveniles,invertebrate,walking,-999,-999,6.03e-6,-999,-999,-999,na,na
1491,Vitrea diaphana,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.001649759,-999,-999,-999,na,na
1492,Vitrea diaphana,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,3.66553e-4,-999,-999,-999,na,na
1493,Zercon gurensis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,1.22e-5,-999,-999,-999,na,na
1494,Aegopinella nitidula,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,0.006715285,-999,-999,-999,na,na
1495,Aegopinella pura,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,5.19993e-4,-999,-999,-999,na,na
1496,Arctoseius magnanalis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,1.64e-5,-999,-999,-999,na,na
1497,Brachysomus,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.005330532,-999,-999,-999,na,na
1498,Chrysomelidae,family,accepted,na,family,adults,invertebrate,walking,-999,-999,0.004621467,-999,-999,-999,na,na
1499,Clausilia bidentata,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,0.026462073,-999,-999,-999,na,na
1500,Cylisticus,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.003154401,-999,-999,-999,na,na
1501,Desoria violacea,species,accepted,na,species,adults,invertebrate,walking,-999,-999,8.34e-6,-999,-999,-999,na,na
1502,Friesea mirabilis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,6.36e-6,-999,-999,-999,na,na
1503,Glomeris,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.08039,-999,-999,-999,na,na
1504,Lamprohiza splendidula,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,5.13793e-4,-999,-999,-999,na,na
1505,Lithobius crassipes,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,9.51286e-4,-999,-999,-999,na,na
1506,Micranurida pygmaea,species,accepted,na,species,adults,invertebrate,walking,-999,-999,5.04e-6,-999,-999,-999,na,na
1507,Orchesella bifasciata,species,accepted,na,species,adults,invertebrate,walking,-999,-999,1.46e-5,-999,-999,-999,na,na
1508,Parasitidae,family,accepted,na,family,juveniles,invertebrate,walking,-999,-999,4.9099999999999996e-06,-999,-999,-999,na,na
1509,Pergamasus crassipes,species,accepted,na,species,adults,invertebrate,walking,-999,-999,2.66625e-4,-999,-999,-999,na,na
1510,Porcellio,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.004806301,-999,-999,-999,na,na
1511,Prozercon fimbriatus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,6.12e-6,-999,-999,-999,na,na
1512,Saaristoa abnormis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.001376267,-999,-999,-999,na,na
1513,Staphylinidae,family,accepted,na,family,juveniles,invertebrate,walking,-999,-999,0.047641095,-999,-999,-999,na,na
1514,trechinae sp.,NA,NA,na,NA,adults,invertebrate,walking,-999,-999,0.003922111,-999,-999,-999,na,na
1515,uropodina sp. (juv),NA,NA,na,NA,juveniles,invertebrate,walking,-999,-999,3.52e-6,-999,-999,-999,na,na
1516,Aegopinella nitidula,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.024608643,-999,-999,-999,na,na
1517,Dendrobaena octaedra,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.146111111,-999,-999,-999,na,na
1518,Dicymbium brevisetosum,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.001076934,-999,-999,-999,na,na
1519,Enoplognatha ovata,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.011622672,-999,-999,-999,na,na
1520,Glomeris,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.05522,-999,-999,-999,na,na
1521,Harpalus,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.038172623,-999,-999,-999,na,na
1522,Liodidae,family,synonym,na,family,adults,invertebrate,walking,-999,-999,0.016502896,-999,-999,-999,na,na
1523,Micraphorura absoloni,species,synonym,na,species,adults,invertebrate,walking,-999,-999,3.88e-6,-999,-999,-999,na,na
1524,Notiophilus rufipes,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,0.003606752,-999,-999,-999,na,na
1525,Notiophilus,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.011241152,-999,-999,-999,na,na
1526,Oniscus asellus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.008617633,-999,-999,-999,na,na
1527,Parasitidae,family,accepted,na,family,juveniles,invertebrate,walking,-999,-999,2.7e-5,-999,-999,-999,na,na
1528,Porcellio spinicornis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.010511452,-999,-999,-999,na,na
1529,Walckenaeria atrotibialis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.004654898,-999,-999,-999,na,na
1530,Ceratophysella armata,species,accepted,na,species,adults,invertebrate,walking,-999,-999,5.96e-6,-999,-999,-999,na,na
1531,Coelotes terrestris,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.03574029,-999,-999,-999,na,na
1532,Cryptorhynchinae,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.01426803,-999,-999,-999,na,na
1533,Curculionidae,family,accepted,na,family,juveniles,invertebrate,walking,-999,-999,0.017685976,-999,-999,-999,na,na
1534,gisianus flammeolus,NA,NA,na,NA,adults,invertebrate,walking,-999,-999,5.1e-6,-999,-999,-999,na,na
1535,Glomeris,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.03548,-999,-999,-999,na,na
1536,Liogluta longiuscula,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.002028025,-999,-999,-999,na,na
1537,Oncopodura crassicornis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,1.67e-5,-999,-999,-999,na,na
1538,Onychiuridae,family,accepted,na,family,adults,invertebrate,walking,-999,-999,6.75e-6,-999,-999,-999,na,na
1539,Oppiella obsoleta,species,synonym,na,species,adults,invertebrate,walking,-999,-999,1.58e-5,-999,-999,-999,na,na
1540,Ozyptila trux,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.03069857,-999,-999,-999,na,na
1541,Pachylaelaps fuscinuliger,species,accepted,na,species,adults,invertebrate,walking,-999,-999,1.05462e-4,-999,-999,-999,na,na
1542,Phyllobius oblongus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.010992216,-999,-999,-999,na,na
1543,Scydmaenidae,family,accepted,na,family,adults,invertebrate,walking,-999,-999,5.50589e-4,-999,-999,-999,na,na
1544,Stenus fuscicornis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,9.96944e-4,-999,-999,-999,na,na
1545,Supraphorura furcifera,species,accepted,na,species,adults,invertebrate,walking,-999,-999,6.36e-6,-999,-999,-999,na,na
1546,Tectocepheus minor,species,accepted,na,species,adults,invertebrate,walking,-999,-999,9.85e-6,-999,-999,-999,na,na
1547,Amerus polonicus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,2.1374e-4,-999,-999,-999,na,na
1548,Araneidae,family,accepted,na,family,juveniles,invertebrate,walking,-999,-999,0.001240502,-999,-999,-999,na,na
1549,Arion intermedius,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.24906,-999,-999,-999,na,na
1550,Arrhopalites pygmaeus,species,synonym,na,species,adults,invertebrate,walking,-999,-999,5.1e-6,-999,-999,-999,na,na
1551,Cychrus attenuatus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.51825924,-999,-999,-999,na,na
1552,Dendrobaena pygmaea,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.04,-999,-999,-999,na,na
1553,Donacochara speciosa,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.004422659,-999,-999,-999,na,na
1554,Eniochthonius minutissimus,species,synonym,na,species,adults,invertebrate,walking,-999,-999,2.06e-5,-999,-999,-999,na,na
1555,Fosseremus laciniatus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,7.22e-6,-999,-999,-999,na,na
1556,Glomeris,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.30054,-999,-999,-999,na,na
1557,Gonatium rubens,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.003308776,-999,-999,-999,na,na
1558,Hypogastrura purpurescens,species,accepted,na,species,adults,invertebrate,walking,-999,-999,8.45e-6,-999,-999,-999,na,na
1559,Lehmannia marginata,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.436485,-999,-999,-999,na,na
1560,Lithobius aulacopus,species,synonym,na,species,juveniles,invertebrate,walking,-999,-999,0.003646738,-999,-999,-999,na,na
1561,Metaphorura affinis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,1.46e-5,-999,-999,-999,na,na
1562,Monachoides incarnatus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.125012001,-999,-999,-999,na,na
1563,Neotrichoppia confinis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,9.85e-6,-999,-999,-999,na,na
1564,Oppiella marginedentata,species,synonym,na,species,adults,invertebrate,walking,-999,-999,5.68e-6,-999,-999,-999,na,na
1565,Paratullbergia callipygos,species,accepted,na,species,adults,invertebrate,walking,-999,-999,1.46e-5,-999,-999,-999,na,na
1566,pergamasinae (male),NA,NA,na,NA,adults,invertebrate,walking,-999,-999,9.62e-5,-999,-999,-999,na,na
1567,Philoscia muscorum,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.00320492,-999,-999,-999,na,na
1568,Pseudosinella immaculata,species,accepted,na,species,adults,invertebrate,walking,-999,-999,1.12e-5,-999,-999,-999,na,na
1569,Suctobelba altvateri,species,accepted,na,species,adults,invertebrate,walking,-999,-999,8.99e-6,-999,-999,-999,na,na
1570,Trachytes aegrota,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,3.57e-6,-999,-999,-999,na,na
1571,Trichoniscus pusillus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.001396168,-999,-999,-999,na,na
1572,Veigaia exigua,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,8.43e-6,-999,-999,-999,na,na
1573,Willemia anophthalma,species,accepted,na,species,adults,invertebrate,walking,-999,-999,1.46e-5,-999,-999,-999,na,na
1574,Abax ovalis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.178420123,-999,-999,-999,na,na
1575,Aporrectodea caliginosa,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,0.267537302,-999,-999,-999,na,na
1576,Araniella cucurbitina,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.161749345,-999,-999,-999,na,na
1577,brachyderinae sp.,NA,NA,na,NA,adults,invertebrate,walking,-999,-999,0.007247949,-999,-999,-999,na,na
1578,Bythinus acutangulus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,3.26196e-4,-999,-999,-999,na,na
1579,Callobius claustrarius,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.077277391,-999,-999,-999,na,na
1580,Glomeris,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.120142333,-999,-999,-999,na,na
1581,Nargus wilkinii,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.002349298,-999,-999,-999,na,na
1582,Quedius,genus,accepted,na,genus,juveniles,invertebrate,walking,-999,-999,0.002088641,-999,-999,-999,na,na
1583,Tenuiphantes tenebricola,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.001080164,-999,-999,-999,na,na
1584,Trachelipus,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.009576654,-999,-999,-999,na,na
1585,Walckenaeria cuspidata,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.003001519,-999,-999,-999,na,na
1586,Xantholinus laevigatus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.010916669,-999,-999,-999,na,na
1587,Trombidiidae,family,accepted,na,family,adults,invertebrate,walking,-999,-999,6.94885e-4,-999,-999,-999,na,na
1588,Agriotes acuminatus,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,0.009457606,-999,-999,-999,na,na
1589,Calathus melanocephalus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.022694242,-999,-999,-999,na,na
1590,Deuterosminthurus,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,5.1e-6,-999,-999,-999,na,na
1591,Glomeris,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.13461,-999,-999,-999,na,na
1592,Macrogastra ventricosa,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.261187846,-999,-999,-999,na,na
1593,Oniscidae,family,accepted,na,family,juveniles,invertebrate,walking,-999,-999,0.005468271,-999,-999,-999,na,na
1594,Sminthurus viridis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,5.1e-6,-999,-999,-999,na,na
1595,Aporrectodea caliginosa,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,0.207777778,-999,-999,-999,na,na
1596,Ballus chalybeius,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.004670553,-999,-999,-999,na,na
1597,Ballus chalybeius,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,0.001238989,-999,-999,-999,na,na
1598,Centromerus sylvaticus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.004287797,-999,-999,-999,na,na
1599,Dictyna latens,species,synonym,na,species,adults,invertebrate,walking,-999,-999,0.002855567,-999,-999,-999,na,na
1600,Domene scabricollis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.003846051,-999,-999,-999,na,na
1601,Glomeris,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.131905,-999,-999,-999,na,na
1602,Julidae,family,accepted,na,family,juveniles,invertebrate,walking,-999,-999,0.001585562,-999,-999,-999,na,na
1603,Metabelba pulverosa,species,accepted,na,species,adults,invertebrate,walking,-999,-999,3.53e-5,-999,-999,-999,na,na
1604,Micranurida sensillata,species,accepted,na,species,adults,invertebrate,walking,-999,-999,7.89e-6,-999,-999,-999,na,na
1605,Neelides minutus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,1.52e-5,-999,-999,-999,na,na
1606,Protaphorura aurantiaca,species,accepted,na,species,adults,invertebrate,walking,-999,-999,8.73e-6,-999,-999,-999,na,na
1607,Xysticus lanio,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.027497425,-999,-999,-999,na,na
1608,aleocharinae sp2,NA,NA,na,NA,adults,invertebrate,walking,-999,-999,6.6e-5,-999,-999,-999,na,na
1609,Armadillidium,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.00399555,-999,-999,-999,na,na
1610,Atheta myrmecobia,species,synonym,na,species,adults,invertebrate,walking,-999,-999,4.26638e-4,-999,-999,-999,na,na
1611,Entomobrya,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,6.75e-6,-999,-999,-999,na,na
1612,Folsomia fimetaria,species,accepted,na,species,adults,invertebrate,walking,-999,-999,5.41e-6,-999,-999,-999,na,na
1613,Folsomia litsteri,species,accepted,na,species,adults,invertebrate,walking,-999,-999,5.41e-6,-999,-999,-999,na,na
1614,Friesea truncata,species,accepted,na,species,adults,invertebrate,walking,-999,-999,2.7e-6,-999,-999,-999,na,na
1615,Glomeris,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.05148875,-999,-999,-999,na,na
1616,Lithobius,genus,accepted,na,genus,juveniles,invertebrate,walking,-999,-999,0.001667807,-999,-999,-999,na,na
1617,Palliduphantes pallidus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.001802552,-999,-999,-999,na,na
1618,Phalacridae,family,accepted,na,family,adults,invertebrate,walking,-999,-999,0.001762372,-999,-999,-999,na,na
1619,Tomocerus vulgaris,species,accepted,na,species,adults,invertebrate,walking,-999,-999,1.46e-5,-999,-999,-999,na,na
1620,Anelasmocephalus cambridgei,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.008190923,-999,-999,-999,na,na
1621,Aporrectodea,genus,accepted,na,genus,juveniles,invertebrate,walking,-999,-999,0.05,-999,-999,-999,na,na
1622,Apostenus fuscus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.008812524,-999,-999,-999,na,na
1623,Glomeris marginata,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.016627644,-999,-999,-999,na,na
1624,Glomeris,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.226675,-999,-999,-999,na,na
1625,Harpalus latus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.131065377,-999,-999,-999,na,na
1626,Histeridae,family,accepted,na,family,adults,invertebrate,walking,-999,-999,0.002114101,-999,-999,-999,na,na
1627,Porobelba spinosa,species,accepted,na,species,adults,invertebrate,walking,-999,-999,1.49e-5,-999,-999,-999,na,na
1628,Urodiaspis tecta,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,2.28e-5,-999,-999,-999,na,na
1629,Glomeris,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.152978077,-999,-999,-999,na,na
1630,Lysigamasus puerilis,species,synonym,na,species,adults,invertebrate,walking,-999,-999,9.62e-6,-999,-999,-999,na,na
1631,Pseudachorutes dubius,species,accepted,na,species,adults,invertebrate,walking,-999,-999,1.07e-5,-999,-999,-999,na,na
1632,Pseudachorutes subcrassus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,5.96e-6,-999,-999,-999,na,na
1633,Arionidae,family,accepted,na,family,adults,invertebrate,walking,-999,-999,0.173821667,-999,-999,-999,na,na
1634,Azeca goodalli,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.010612956,-999,-999,-999,na,na
1635,Glomeris,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.134805,-999,-999,-999,na,na
1636,Liebstadia similis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,5.39e-5,-999,-999,-999,na,na
1637,Pachylaelaps,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,6.06e-5,-999,-999,-999,na,na
1638,Scutigerella immaculata,species,accepted,na,species,adults,invertebrate,walking,-999,-999,4.38e-6,-999,-999,-999,na,na
1639,Veigaia kochi,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,1.01558e-4,-999,-999,-999,na,na
1640,Glomeris,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.0493,-999,-999,-999,na,na
1641,Leioseius bicolor,species,synonym,na,species,adults,invertebrate,walking,-999,-999,8.3e-6,-999,-999,-999,na,na
1642,Oxytelus,genus,accepted,na,genus,juveniles,invertebrate,walking,-999,-999,6.58373e-4,-999,-999,-999,na,na
1643,Pachyseius angustus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,3.12e-5,-999,-999,-999,na,na
1644,Pterostichus oblongopunctatus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.142795574,-999,-999,-999,na,na
1645,Tomocerus minutus,species,synonym,na,species,adults,invertebrate,walking,-999,-999,6.75e-6,-999,-999,-999,na,na
1646,Tropiphorus,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.008260425,-999,-999,-999,na,na
1647,Walckenaeria corniculans,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.003308776,-999,-999,-999,na,na
1648,Abax parallelus,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,0.543691567,-999,-999,-999,na,na
1649,Ceratophysella gibbosa,species,accepted,na,species,adults,invertebrate,walking,-999,-999,5.96e-6,-999,-999,-999,na,na
1650,Epicrius schusteri,species,accepted,na,species,adults,invertebrate,walking,-999,-999,2.57e-5,-999,-999,-999,na,na
1651,Glomeris,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.165825,-999,-999,-999,na,na
1652,Hypogastrura burkilli,species,accepted,na,species,adults,invertebrate,walking,-999,-999,9.91e-6,-999,-999,-999,na,na
1653,Isotomurus palustris,species,accepted,na,species,adults,invertebrate,walking,-999,-999,3.27e-6,-999,-999,-999,na,na
1654,Neon reticulatus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.00188068,-999,-999,-999,na,na
1655,Proisotoma minuta,species,accepted,na,species,adults,invertebrate,walking,-999,-999,3.11e-6,-999,-999,-999,na,na
1656,Sminthurides,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,5.1e-6,-999,-999,-999,na,na
1657,Tritegeus bisulcatus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,1.35388e-4,-999,-999,-999,na,na
1658,Veigaia agilis,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,9.5e-6,-999,-999,-999,na,na
1659,Amblyseius similifloridanus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,5.96e-6,-999,-999,-999,na,na
1660,crychus caraboides,NA,NA,na,NA,adults,invertebrate,walking,-999,-999,0.391743569,-999,-999,-999,na,na
1661,Cryphoeca,genus,accepted,na,genus,juveniles,invertebrate,walking,-999,-999,0.003465125,-999,-999,-999,na,na
1662,Dendrobaena octaedra,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,0.05,-999,-999,-999,na,na
1663,Glomeris,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.117965385,-999,-999,-999,na,na
1664,Glomeris undulata,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.017634273,-999,-999,-999,na,na
1665,Hypoaspis aculeifer,species,synonym,na,species,adults,invertebrate,walking,-999,-999,4.51e-5,-999,-999,-999,na,na
1666,Lumbricus rubellus,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,0.135,-999,-999,-999,na,na
1667,Neon reticulatus,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,5.40315e-4,-999,-999,-999,na,na
1668,Philonthus,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.025923117,-999,-999,-999,na,na
1669,Pterostichus burmeisteri,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.426435448,-999,-999,-999,na,na
1670,Stenaphorura quadrispina,species,accepted,na,species,adults,invertebrate,walking,-999,-999,3.11e-6,-999,-999,-999,na,na
1671,Stilicus,genus,synonym,na,genus,juveniles,invertebrate,walking,-999,-999,4.42552e-4,-999,-999,-999,na,na
1672,Entomobrya quinquelineata,species,accepted,na,species,adults,invertebrate,walking,-999,-999,4.75e-6,-999,-999,-999,na,na
1673,Euophrys herbigrada,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.004108892,-999,-999,-999,na,na
1674,Eupelops torulosus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,9.55e-5,-999,-999,-999,na,na
1675,Friesea claviseta,species,accepted,na,species,adults,invertebrate,walking,-999,-999,4.34e-6,-999,-999,-999,na,na
1676,Geholaspis longispinosus,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,3.95e-5,-999,-999,-999,na,na
1677,Leptacinus,genus,accepted,na,genus,juveniles,invertebrate,walking,-999,-999,4.5783e-4,-999,-999,-999,na,na
1678,Mesaphorura yosii,species,synonym,na,species,adults,invertebrate,walking,-999,-999,1.43e-6,-999,-999,-999,na,na
1679,Paratullbergia macdougalli,species,accepted,na,species,adults,invertebrate,walking,-999,-999,2.7e-6,-999,-999,-999,na,na
1680,Philodromus dispar,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.013387849,-999,-999,-999,na,na
1681,pterostichinae sp.,NA,NA,na,NA,adults,invertebrate,walking,-999,-999,0.088703415,-999,-999,-999,na,na
1682,Stenus,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,0.001769014,-999,-999,-999,na,na
1683,Stilicus rufipes,species,synonym,na,species,adults,invertebrate,walking,-999,-999,0.003846051,-999,-999,-999,na,na
1684,Veigaia planicola,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,1.03e-5,-999,-999,-999,na,na
1685,Zercon peltatus,species,synonym,na,species,adults,invertebrate,walking,-999,-999,1.34e-5,-999,-999,-999,na,na
1686,Cepheus cepheiformis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,7.6e-5,-999,-999,-999,na,na
1687,Cryptops hortensis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,0.006138127,-999,-999,-999,na,na
1688,Entomobrya corticalis,species,accepted,na,species,adults,invertebrate,walking,-999,-999,4.34e-6,-999,-999,-999,na,na
1689,Euzetes globulus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,3.19952e-4,-999,-999,-999,na,na
1690,Liocranidae,family,accepted,na,family,juveniles,invertebrate,walking,-999,-999,0.002874279,-999,-999,-999,na,na
1691,Lumbricus rubellus,species,accepted,na,species,juveniles,invertebrate,walking,-999,-999,0.056666667,-999,-999,-999,na,na
1692,Lycosidae,family,accepted,na,family,juveniles,invertebrate,walking,-999,-999,0.015682465,-999,-999,-999,na,na
1693,Pachylaelaps,genus,accepted,na,genus,juveniles,invertebrate,walking,-999,-999,2.97e-5,-999,-999,-999,na,na
1694,Pergamasus norvegicus,species,accepted,na,species,adults,invertebrate,walking,-999,-999,3.02116e-4,-999,-999,-999,na,na
1695,Pergamasus quisquiliarum,species,accepted,na,species,adults,invertebrate,walking,-999,-999,2.04233e-4,-999,-999,-999,na,na
1696,Philodromidae,family,accepted,na,family,juveniles,invertebrate,walking,-999,-999,0.001083208,-999,-999,-999,na,na
1697,Vulgarogamasus,genus,accepted,na,genus,adults,invertebrate,walking,-999,-999,1.09e-5,-999,-999,-999,na,na
1698,agriotinae sp1 (juv),NA,NA,na,NA,juveniles,invertebrate,walking,-999,-999,3.0966e-4,-999,-999,-999,na,na
1699,Anthicus flavipes,species,accepted,na,species,adults,invertebrate,walking,-999,-999,1.22167e-4,-999,-999,-999,na,na
1700,Blaniulidae,family,accepted,na,family,juveniles,invertebrate,walking,-999,-999,1.38541e-4,-999,-999,-999,na,na
